Frequency_desired,Amplitude_desired,Frequency_image,Amplitude_image,IRR
0,-53.0161203980751,4200000000,-111.352270703892,58.3361503058169
10000000,-49.998480487779,4190000000,-111.331528007023,61.333047519244
20000000,-49.9766104734739,4180000000,-111.310762654591,61.334152181117105
30000000,-49.9406528663582,4170000000,-111.289912940473,61.3492600741148
40000000,-49.8913228216974,4160000000,-111.268997632046,61.377674810348594
50000000,-49.8295718491165,4150000000,-111.248019015637,61.4184471665205
60000000,-49.7565431905377,4140000000,-111.226980804532,61.47043761399431
70000000,-49.6735202191657,4130000000,-111.205889039081,61.5323688199153
80000000,-49.5818808559022,4120000000,-111.184721281101,61.602840425198806
90000000,-49.4830813238574,4110000000,-111.163534691919,61.6804533680616
100000000,-19.5439554514898,4100000000,-111.14019537915,91.5962399276602
110000000,-49.2708328866943,4090000000,-111.120953912654,61.8501210259597
120000000,-49.1624805686385,4080000000,-111.099570924157,61.93709035551851
130000000,-49.0591755188335,4070000000,-111.078153114289,62.018977595455496
140000000,-48.9713788062767,4060000000,-111.056670183345,62.08529137706831
150000000,-48.9186815203346,4050000000,-111.035163871173,62.116482350838396
160000000,-48.9355222671568,4040000000,-111.013596541049,62.0780742738922
170000000,-49.0762473718412,4030000000,-110.9919769918287,61.915729619987495
180000000,-49.41295498968,4020000000,-110.9703045998941,61.557349610214104
190000000,-50.0165939564157,4010000000,-110.9485685695684,60.9319746131527
200000000,-50.9215698108538,4000000000,-110.9267931525269,60.005223341673094
210000000,-52.0982303277319,3990000000,-110.9049401167221,58.806709788990204
220000000,-53.461270700199805,3980000000,-110.8830498985078,57.421779198308
230000000,-54.9061537385157,3970000000,-110.8611082808794,55.95495454236371
240000000,-56.3417480301232,3960000000,-110.8390879167576,54.49733988663441
250000000,-57.7039067688723,3950000000,-110.8170231543227,53.1131163854504
260000000,-58.955200625704904,3940000000,-110.7949054007349,51.83970477503
270000000,-60.0794230305754,3930000000,-110.7727140903278,50.6932910597524
280000000,-61.0753732193775,3920000000,-110.7504748573442,49.675101637966705
290000000,-61.9513331189773,3910000000,-110.7281717156431,48.7768385966658
300000000,-62.633358315048795,3900000000,-110.7077708705419,48.07441255549311
310000000,-63.39836309447659,3890000000,-110.6833900234803,47.285026929003706
320000000,-63.9993240507507,3880000000,-110.6609437052891,46.6616196545384
330000000,-64.5368153506309,3870000000,-110.6384002003718,46.1015848497409
340000000,-65.022191044024,3860000000,-110.6158212274547,45.593630183430705
350000000,-65.4648183610594,3850000000,-110.5931820046896,45.128363643630195
360000000,-65.8722554099932,3840000000,-110.570509227284,44.698253817290805
370000000,-66.2505241336016,3830000000,-110.5477662001448,44.297242066543205
380000000,-66.6043863636136,3820000000,-110.5250015853102,43.92061522169661
390000000,-66.9376115059235,3810000000,-110.5021597576577,43.564548251734195
400000000,-67.2531772638218,3800000000,-110.4792876035399,43.226110339718105
410000000,-67.5534597566688,3790000000,-110.4563077474606,42.9028479907918
420000000,-67.840355146105,3780000000,-110.4332619376597,42.5929067915547
430000000,-68.1154036029721,3770000000,-110.4101471274581,42.29474352448601
440000000,-68.3798561430146,3760000000,-110.3869717014917,42.007115558477096
450000000,-68.6347494694412,3750000000,-110.3637137373746,41.72896426793339
460000000,-68.8809436992136,3740000000,-110.3404072014899,41.45946350227629
470000000,-69.1191648687466,3730000000,-110.3170386668805,41.19787379813391
480000000,-69.3500316691768,3720000000,-110.2935931112087,40.94356144203189
490000000,-69.5740793459889,3710000000,-110.2700929063649,40.69601356037599
500000000,-69.7916490528371,3700000000,-110.2465124343363,40.454863381499194
510000000,-70.0035157435201,3690000000,-110.2228723448153,40.2193566012952
520000000,-70.2096670542255,3680000000,-110.1991926668627,39.989525612637195
530000000,-70.4105545921994,3670000000,-110.1754403474966,39.7648857552972
540000000,-70.606462137664,3660000000,-110.1516208170228,39.545158679358806
550000000,-70.7976561611725,3650000000,-110.1277366613706,39.33008050019811
560000000,-70.9843700576171,3640000000,-110.1037754523411,39.119405394724
570000000,-71.1668246478252,3630000000,-110.079758720711,38.912934072885804
580000000,-71.34522260409,3620000000,-110.0556724204332,38.7104498163432
590000000,-71.5197456150155,3610000000,-110.0315168331036,38.5117712180881
600000000,-71.6905656081968,3600000000,-110.007291133694,38.31672552549719
610000000,-71.8578401625546,3590000000,-109.9830146437418,38.1251744811872
620000000,-72.0217230860053,3580000000,-109.9586444342959,37.93692134829061
630000000,-72.1823506159739,3570000000,-109.9342268060508,37.7518761900769
640000000,-72.3398503565476,3560000000,-109.9097290760272,37.569878719479604
650000000,-72.4943458245795,3550000000,-109.8851594176646,37.3908135930851
660000000,-72.6459528367445,3540000000,-109.8605034106286,37.2145505738841
670000000,-72.7947816915854,3530000000,-109.8358190108171,37.041037319231705
680000000,-72.9409308566201,3520000000,-109.8110483468452,36.8701174902251
690000000,-73.084499020742,3510000000,-109.7861892979645,36.7016902772225
700000000,-73.2265111634228,3500000000,-109.7612610316307,36.534749868207896
710000000,-73.3642364369015,3490000000,-109.7362940155442,36.372057578642696
720000000,-73.5005879994956,3480000000,-109.7112306094303,36.21064260993471
730000000,-73.6346863765267,3470000000,-109.6860882321271,36.0514018556004
740000000,-73.7666175554142,3460000000,-109.6608861045675,35.894268549153296
750000000,-73.8964424973432,3450000000,-109.6355922190686,35.7391497217254
760000000,-74.0242328886418,3440000000,-109.6102392287636,35.5860063401218
770000000,-74.1500529628095,3430000000,-109.5848075899527,35.43475462714321
780000000,-74.2739564759194,3420000000,-109.5592952657055,35.285338789786096
790000000,-74.396011742206,3410000000,-109.5337155729385,35.137703830732505
800000000,-74.5162735006253,3400000000,-109.5080632143962,34.9917897137709
810000000,-74.6348049555509,3390000000,-109.4823166904369,34.847511734886
820000000,-74.7516567078235,3380000000,-109.4565164583773,34.704859750553794
830000000,-74.8668731133224,3370000000,-109.4306157478819,34.5637426345595
840000000,-74.9805041194302,3360000000,-109.4046535353117,34.4241494158815
850000000,-75.0925814092313,3350000000,-109.3786207192393,34.28603931000799
860000000,-75.2031509488616,3340000000,-109.3524844119228,34.1493334630612
870000000,-75.312247043953,3330000000,-109.3262784146696,34.01403137071661
880000000,-75.4199155377855,3320000000,-109.2999832452824,33.880067707496906
890000000,-75.5261822202039,3310000000,-109.2736408515881,33.74745863138419
900000000,-75.7929100791671,3300000000,-109.2472110517758,33.454300972608706
910000000,-75.7346938325984,3290000000,-109.220644207974,33.48595037537561
920000000,-75.8369910165841,3280000000,-109.1940182205287,33.35702720394461
930000000,-75.9380430769118,3270000000,-109.1673135142035,33.2292704372917
940000000,-76.0378611108755,3260000000,-109.1404958025838,33.1026346917083
950000000,-76.1364960775654,3250000000,-109.1136088350073,32.9771127574419
960000000,-76.2339560150491,3240000000,-109.0866033856654,32.852647370616296
970000000,-76.3302853577896,3230000000,-109.0594645690334,32.72917921124379
980000000,-76.4255091398039,3220000000,-109.0322482683334,32.6067391285295
990000000,-76.5196476711341,3210000000,-109.0049195385925,32.48527186745841
1000000000,-76.6127282179725,3200000000,-108.9775394550276,32.36481123705509
1010000000,-76.7047733082227,3190000000,-108.9501329309751,32.2453596227524
1020000000,-76.7958138652774,3180000000,-108.9227080977833,32.126894232505904
1030000000,-76.8858639039874,3170000000,-108.8952754398766,32.0094115358892
1040000000,-76.9749483384749,3160000000,-108.8677773616057,31.8928290231308
1050000000,-77.0630880878554,3150000000,-108.8402267582714,31.777138670415994
1060000000,-77.1502986700849,3140000000,-108.812562681124,31.662264011039113
1070000000,-77.2366048583795,3130000000,-108.7847883722996,31.548183513920108
1080000000,-77.3220221666727,3120000000,-108.7569020458184,31.43487987914571
1090000000,-77.4065786070214,3110000000,-108.7288802482397,31.322301641218303
1100000000,-77.4172564129205,3100000000,-108.7038767067309,31.2866202938104
1110000000,-77.5731170961147,3090000000,-108.6725333363155,31.099416240200796
1120000000,-77.6551531024802,3080000000,-108.6441975212086,30.989044418728398
1130000000,-77.7363851322393,3070000000,-108.6157530773034,30.87936794506409
1140000000,-77.816829189115,3060000000,-108.587189612468,30.770360423352997
1150000000,-77.8964923304902,3050000000,-108.5585468050568,30.662054474566602
1160000000,-77.9754068456933,3040000000,-108.5297936152238,30.554386769530495
1170000000,-78.0535806891225,3030000000,-108.5009659215453,30.447385232422803
1180000000,-78.131038965175,3020000000,-108.4720174311339,30.340978465958912
1190000000,-78.207809208065,3010000000,-108.4429899617081,30.235180753643093
1200000000,-78.2838970535464,3000000000,-108.4138546674991,30.129957613952698
1210000000,-78.3593091066555,2990000000,-108.3846248955378,30.025315788882295
1220000000,-78.4340527674299,2980000000,-108.3553199964823,29.92126722905239
1230000000,-78.5081392509821,2970000000,-108.3259039757091,29.817764724727
1240000000,-78.5815699991738,2960000000,-108.296405674367,29.7148356751932
