time,V(out_ipf),I(Lo+)-I(Lo-),I(Rf+)-I(Rf-),V(outp)-V(outn)
1.19E-08,-0.0312,0,0.000361,0.106
1.19E-08,-0.0314,0,0.000384,0.112
1.20E-08,-0.0316,0,0.000405,0.118
1.20E-08,-0.0317,0,0.000425,0.124
1.20E-08,-0.0319,0,0.000442,0.128
1.20E-08,-0.0321,0,0.000457,0.133
1.20E-08,-0.0322,0,0.000464,0.134
1.20E-08,-0.0324,0,0.000476,0.138
1.20E-08,-0.0324,0,0.000477,0.136
1.20E-08,-0.0324,0,0.000479,0.131
1.20E-08,-0.0325,0,0.000482,0.118
1.20E-08,-0.0326,0,0.000489,0.0906
1.20E-08,-0.0328,0,0.000495,0.0604
1.20E-08,-0.0329,0,0.000499,0.0347
1.20E-08,-0.0331,0,0.0005,0.0113
1.21E-08,-0.0333,0,0.000499,-0.0112
1.21E-08,-0.0334,0,0.000495,-0.0344
1.21E-08,-0.0336,0,0.00049,-0.0597
1.21E-08,-0.0338,0,0.000481,-0.0884
1.21E-08,-0.0338,0,0.000476,-0.104
1.21E-08,-0.034,0,0.000465,-0.135
1.21E-08,-0.034,0,0.000464,-0.135
1.21E-08,-0.0341,0,0.000461,-0.134
1.21E-08,-0.0341,0,0.000455,-0.132
1.21E-08,-0.0342,0,0.000443,-0.129
1.21E-08,-0.0344,0,0.000426,-0.124
1.21E-08,-0.0346,0,0.000407,-0.119
1.21E-08,-0.0347,0,0.000386,-0.113
1.22E-08,-0.0349,0,0.000363,-0.106
1.22E-08,-0.035,0,0.000339,-0.0994
1.22E-08,-0.0352,0,0.000313,-0.092
1.22E-08,-0.0353,0,0.000285,-0.0841
1.22E-08,-0.0355,0,0.000256,-0.0757
1.22E-08,-0.0356,0,0.000226,-0.0669
1.22E-08,-0.0358,0,0.000194,-0.0578
1.22E-08,-0.0359,0,0.000162,-0.0483
1.22E-08,-0.036,0,0.000129,-0.0386
1.22E-08,-0.0362,0,9.52E-05,-0.0285
1.23E-08,-0.0363,0,6.11E-05,-0.0183
1.23E-08,-0.0365,0,2.67E-05,-0.008
1.23E-08,-0.0366,0,-7.85E-06,0.00235
1.23E-08,-0.0367,0,-4.24E-05,0.0127
1.23E-08,-0.0369,0,-7.67E-05,0.023
1.23E-08,-0.037,0,-0.000111,0.0331
1.23E-08,-0.0371,0,-0.000144,0.043
1.23E-08,-0.0373,0,-0.000177,0.0527
1.23E-08,-0.0374,0,-0.000209,0.062
1.23E-08,-0.0375,0,-0.000239,0.071
1.24E-08,-0.0376,0,-0.000269,0.0796
1.24E-08,-0.0378,0,-0.000298,0.0877
1.24E-08,-0.0379,0,-0.000325,0.0954
1.24E-08,-0.038,0,-0.00035,0.103
1.24E-08,-0.0381,0,-0.000362,0.106
1.24E-08,-0.0382,0,-0.000385,0.113
1.24E-08,-0.0382,0,-0.000387,0.111
1.24E-08,-0.0382,0,-0.000392,0.108
1.24E-08,-0.0383,0,-0.0004,0.0976
1.24E-08,-0.0384,0,-0.000416,0.0764
1.24E-08,-0.0385,0,-0.000434,0.0525
1.24E-08,-0.0386,0,-0.00045,0.0309
1.24E-08,-0.0387,0,-0.000464,0.0102
1.25E-08,-0.0388,0,-0.000476,-0.011
1.25E-08,-0.0389,0,-0.000485,-0.034
1.25E-08,-0.039,0,-0.000493,-0.0604
1.25E-08,-0.0391,0,-0.000497,-0.0917
1.25E-08,-0.0392,0,-0.000499,-0.109
1.25E-08,-0.0393,0,-0.0005,-0.145
1.25E-08,-0.0393,0,-0.0005,-0.145
1.25E-08,-0.0393,0,-0.0005,-0.145
1.25E-08,-0.0394,0,-0.000499,-0.144
1.25E-08,-0.0394,0,-0.000497,-0.144
1.25E-08,-0.0395,0,-0.000493,-0.142
1.25E-08,-0.0396,0,-0.000485,-0.14
1.25E-08,-0.0397,0,-0.000476,-0.138
1.26E-08,-0.0398,0,-0.000464,-0.135
1.26E-08,-0.0399,0,-0.00045,-0.131
1.26E-08,-0.04,0,-0.000434,-0.126
1.26E-08,-0.0401,0,-0.000416,-0.121
1.26E-08,-0.0402,0,-0.000396,-0.116
1.26E-08,-0.0403,0,-0.000374,-0.109
1.26E-08,-0.0404,0,-0.00035,-0.103
1.26E-08,-0.0405,0,-0.000325,-0.0954
1.26E-08,-0.0406,0,-0.000298,-0.0877
1.26E-08,-0.0406,0,-0.000269,-0.0796
1.27E-08,-0.0407,0,-0.000239,-0.071
1.27E-08,-0.0408,0,-0.000209,-0.062
1.27E-08,-0.0409,0,-0.000177,-0.0527
1.27E-08,-0.0409,0,-0.000144,-0.043
1.27E-08,-0.041,0,-0.000111,-0.0331
1.27E-08,-0.0411,0,-7.67E-05,-0.023
1.27E-08,-0.0412,0,-4.24E-05,-0.0127
1.27E-08,-0.0412,0,-7.85E-06,-0.00235
1.27E-08,-0.0413,0,2.67E-05,0.008
1.27E-08,-0.0414,0,6.11E-05,0.0183
1.28E-08,-0.0414,0,9.52E-05,0.0285
1.28E-08,-0.0415,0,0.000129,0.0386
1.28E-08,-0.0416,0,0.000162,0.0483
1.28E-08,-0.0416,0,0.000194,0.0578
1.28E-08,-0.0417,0,0.000226,0.0669
1.28E-08,-0.0417,0,0.000256,0.0757
1.28E-08,-0.0418,0,0.000285,0.0841
1.28E-08,-0.0419,0,0.000313,0.092
1.28E-08,-0.0419,0,0.000339,0.0994
1.28E-08,-0.042,0,0.000363,0.106
1.29E-08,-0.042,0,0.000386,0.113
1.29E-08,-0.0421,0,0.000407,0.119
1.29E-08,-0.0421,0,0.000426,0.124
1.29E-08,-0.0421,0,0.000443,0.129
1.29E-08,-0.0422,0,0.000458,0.133
1.29E-08,-0.0422,0,0.000471,0.136
1.29E-08,-0.0423,0,0.000481,0.139
1.29E-08,-0.0423,0,0.00049,0.142
1.29E-08,-0.0423,0,0.000495,0.143
1.29E-08,-0.0424,0,0.000499,0.144
1.30E-08,-0.0424,0,0.0005,0.144
1.30E-08,-0.0424,0,0.000499,0.144
1.30E-08,-0.0425,0,0.000495,0.143
1.30E-08,-0.0425,0,0.000489,0.141
1.30E-08,-0.0425,0,0.000485,0.14
1.30E-08,-0.0425,0,0.000476,0.138
1.30E-08,-0.0426,0,0.000474,0.135
1.30E-08,-0.0426,0,0.000472,0.129
1.30E-08,-0.0426,0,0.000467,0.115
1.30E-08,-0.0426,0,0.000457,0.0851
1.30E-08,-0.0426,0,0.000442,0.0544
1.30E-08,-0.0426,0,0.000425,0.0299
1.30E-08,-0.0426,0,0.000405,0.00962
1.31E-08,-0.0427,0,0.000384,-0.00817
1.31E-08,-0.0427,0,0.000361,-0.0245
1.31E-08,-0.0427,0,0.000337,-0.0402
1.31E-08,-0.0427,0,0.00031,-0.0561
1.31E-08,-0.0427,0,0.000296,-0.0641
1.31E-08,-0.0427,0,0.000268,-0.0793
1.31E-08,-0.0427,0,0.000265,-0.0784
1.31E-08,-0.0427,0,0.000259,-0.0767
1.31E-08,-0.0427,0,0.000247,-0.0733
1.31E-08,-0.0427,0,0.000223,-0.0662
1.31E-08,-0.0427,0,0.000191,-0.057
1.31E-08,-0.0427,0,0.000159,-0.0475
1.31E-08,-0.0428,0,0.000126,-0.0377
1.32E-08,-0.0428,0,9.21E-05,-0.0276
1.32E-08,-0.0428,0,5.80E-05,-0.0174
1.32E-08,-0.0428,0,2.36E-05,-0.00706
1.32E-08,-0.0427,0,-1.10E-05,0.00329
1.32E-08,-0.0427,0,-4.55E-05,0.0136
1.32E-08,-0.0427,0,-7.98E-05,0.0239
1.32E-08,-0.0427,0,-0.000114,0.034
1.32E-08,-0.0427,0,-0.000147,0.0439
1.32E-08,-0.0427,0,-0.00018,0.0535
1.32E-08,-0.0427,0,-0.000211,0.0628
1.33E-08,-0.0427,0,-0.000242,0.0718
1.33E-08,-0.0427,0,-0.000272,0.0803
1.33E-08,-0.0426,0,-0.0003,0.0884
1.33E-08,-0.0426,0,-0.000327,0.0961
1.33E-08,-0.0426,0,-0.000352,0.103
1.33E-08,-0.0426,0,-0.000376,0.11
1.33E-08,-0.0426,0,-0.000398,0.116
1.33E-08,-0.0425,0,-0.000418,0.122
1.33E-08,-0.0425,0,-0.000436,0.127
1.33E-08,-0.0425,0,-0.000452,0.131
1.34E-08,-0.0424,0,-0.000465,0.135
1.34E-08,-0.0424,0,-0.000477,0.138
1.34E-08,-0.0424,0,-0.000486,0.141
1.34E-08,-0.0423,0,-0.000493,0.143
1.34E-08,-0.0423,0,-0.000496,0.143
1.34E-08,-0.0423,0,-0.000499,0.144
1.34E-08,-0.0423,0,-0.000499,0.142
1.34E-08,-0.0423,0,-0.0005,0.136
1.34E-08,-0.0423,0,-0.0005,0.122
1.34E-08,-0.0422,0,-0.0005,0.0929
1.34E-08,-0.0422,0,-0.000497,0.0609
1.34E-08,-0.0421,0,-0.000492,0.0344
1.34E-08,-0.0421,0,-0.000485,0.0112
1.35E-08,-0.0421,0,-0.000475,-0.0105
1.35E-08,-0.042,0,-0.000463,-0.0319
1.35E-08,-0.042,0,-0.000449,-0.0544
1.35E-08,-0.0419,0,-0.000433,-0.0791
1.35E-08,-0.0419,0,-0.000424,-0.0922
1.35E-08,-0.0418,0,-0.000405,-0.118
1.35E-08,-0.0418,0,-0.000402,-0.117
1.35E-08,-0.0418,0,-0.000398,-0.116
1.35E-08,-0.0418,0,-0.00039,-0.114
1.35E-08,-0.0417,0,-0.000372,-0.109
1.35E-08,-0.0417,0,-0.000348,-0.102
1.35E-08,-0.0416,0,-0.000322,-0.0947
1.35E-08,-0.0416,0,-0.000295,-0.087
1.36E-08,-0.0415,0,-0.000267,-0.0788
1.36E-08,-0.0414,0,-0.000237,-0.0702
1.36E-08,-0.0414,0,-0.000206,-0.0612
1.36E-08,-0.0413,0,-0.000174,-0.0518
1.36E-08,-0.0412,0,-0.000141,-0.0421
1.36E-08,-0.0412,0,-0.000108,-0.0322
1.36E-08,-0.0411,0,-7.36E-05,-0.022
1.36E-08,-0.041,0,-3.92E-05,-0.0118
1.36E-08,-0.0409,0,-4.71E-06,-0.00141
1.36E-08,-0.0409,0,2.98E-05,0.00894
1.37E-08,-0.0408,0,6.42E-05,0.0192
1.37E-08,-0.0407,0,9.83E-05,0.0294
1.37E-08,-0.0406,0,0.000132,0.0395
1.37E-08,-0.0405,0,0.000165,0.0492
1.37E-08,-0.0405,0,0.000197,0.0587
1.37E-08,-0.0404,0,0.000228,0.0678
1.37E-08,-0.0403,0,0.000259,0.0765
1.37E-08,-0.0402,0,0.000288,0.0848
1.37E-08,-0.0401,0,0.000315,0.0927
1.37E-08,-0.04,0,0.000341,0.1
1.38E-08,-0.0399,0,0.000366,0.107
1.38E-08,-0.0398,0,0.000388,0.113
1.38E-08,-0.0397,0,0.000409,0.119
1.38E-08,-0.0396,0,0.000428,0.124
1.38E-08,-0.0395,0,0.000445,0.129
1.38E-08,-0.0394,0,0.000459,0.133
1.38E-08,-0.0393,0,0.000472,0.137
1.38E-08,-0.0392,0,0.000482,0.14
1.38E-08,-0.0391,0,0.00049,0.142
1.38E-08,-0.039,0,0.000496,0.143
1.39E-08,-0.0389,0,0.000499,0.144
1.39E-08,-0.0388,0,0.0005,0.144
1.39E-08,-0.0387,0,0.000498,0.144
1.39E-08,-0.0386,0,0.000495,0.143
1.39E-08,-0.0385,0,0.000488,0.141
1.39E-08,-0.0383,0,0.00048,0.139
1.39E-08,-0.0382,0,0.000469,0.136
1.39E-08,-0.0381,0,0.000456,0.132
1.39E-08,-0.038,0,0.00044,0.128
1.39E-08,-0.0379,0,0.000423,0.123
1.40E-08,-0.0377,0,0.000404,0.118
1.40E-08,-0.0376,0,0.000382,0.112
1.40E-08,-0.0375,0,0.000359,0.105
1.40E-08,-0.0374,0,0.000334,0.0982
1.40E-08,-0.0373,0,0.000321,0.0945
1.40E-08,-0.0372,0,0.000294,0.0867
1.40E-08,-0.0372,0,0.000291,0.0845
1.40E-08,-0.0371,0,0.000285,0.0791
1.40E-08,-0.0371,0,0.000274,0.0673
1.40E-08,-0.037,0,0.00025,0.0468
1.40E-08,-0.0368,0,0.00022,0.0275
1.40E-08,-0.0367,0,0.000188,0.0138
1.40E-08,-0.0366,0,0.000156,0.00424
1.41E-08,-0.0364,0,0.000123,-0.00201
1.41E-08,-0.0363,0,8.91E-05,-0.00533
1.41E-08,-0.0361,0,5.49E-05,-0.00568
1.41E-08,-0.036,0,2.04E-05,-0.00314
1.41E-08,-0.0359,0,3.14E-06,9.54E-06
1.41E-08,-0.0358,0,-3.14E-05,0.00942
1.41E-08,-0.0358,0,-3.48E-05,0.0105
1.41E-08,-0.0357,0,-4.17E-05,0.0125
1.41E-08,-0.0357,0,-5.55E-05,0.0166
1.41E-08,-0.0356,0,-8.29E-05,0.0248
1.41E-08,-0.0354,0,-0.000117,0.0349
1.41E-08,-0.0353,0,-0.00015,0.0448
1.41E-08,-0.0351,0,-0.000183,0.0544
1.42E-08,-0.035,0,-0.000214,0.0637
1.42E-08,-0.0348,0,-0.000245,0.0726
1.42E-08,-0.0347,0,-0.000275,0.0811
1.42E-08,-0.0345,0,-0.000303,0.0891
1.42E-08,-0.0343,0,-0.000329,0.0968
1.42E-08,-0.0342,0,-0.000355,0.104
1.42E-08,-0.034,0,-0.000378,0.111
1.42E-08,-0.0339,0,-0.0004,0.117
1.42E-08,-0.0337,0,-0.00042,0.122
1.42E-08,-0.0335,0,-0.000437,0.127
1.43E-08,-0.0334,0,-0.000453,0.131
1.43E-08,-0.0332,0,-0.000467,0.135
1.43E-08,-0.033,0,-0.000478,0.138
1.43E-08,-0.0329,0,-0.000487,0.141
1.43E-08,-0.0327,0,-0.000494,0.143
1.43E-08,-0.0325,0,-0.000498,0.144
1.43E-08,-0.0324,0,-0.0005,0.144
1.43E-08,-0.0322,0,-0.000499,0.144
1.43E-08,-0.032,0,-0.000497,0.143
1.43E-08,-0.0318,0,-0.000491,0.142
1.44E-08,-0.0317,0,-0.000484,0.14
1.44E-08,-0.0315,0,-0.000474,0.137
1.44E-08,-0.0313,0,-0.000462,0.134
1.44E-08,-0.0311,0,-0.000448,0.13
1.44E-08,-0.031,0,-0.00044,0.128
1.44E-08,-0.0308,0,-0.000422,0.123
1.44E-08,-0.0308,0,-0.00042,0.12
1.44E-08,-0.0308,0,-0.000417,0.114
1.44E-08,-0.0307,0,-0.000409,0.1
1.44E-08,-0.0306,0,-0.000392,0.0731
1.44E-08,-0.0304,0,-0.00037,0.0457
1.44E-08,-0.0302,0,-0.000346,0.0246
1.44E-08,-0.03,0,-0.00032,0.00781
1.45E-08,-0.0298,0,-0.000293,-0.00595
1.45E-08,-0.0296,0,-0.000264,-0.0175
1.45E-08,-0.0294,0,-0.000234,-0.0275
1.45E-08,-0.0292,0,-0.000203,-0.0364
1.45E-08,-0.0291,0,-0.000187,-0.0401
1.45E-08,-0.0289,0,-0.000155,-0.0462
1.45E-08,-0.0289,0,-0.000151,-0.0452
1.45E-08,-0.0289,0,-0.000145,-0.0433
1.45E-08,-0.0288,0,-0.000131,-0.0393
1.45E-08,-0.0286,0,-0.000104,-0.0313
1.45E-08,-0.0284,0,-7.05E-05,-0.0211
1.45E-08,-0.0282,0,-3.61E-05,-0.0108
1.45E-08,-0.028,0,-1.57E-06,-0.000471
1.46E-08,-0.0278,0,3.30E-05,0.00988
1.46E-08,-0.0276,0,6.73E-05,0.0202
1.46E-08,-0.0274,0,0.000101,0.0304
1.46E-08,-0.0272,0,0.000135,0.0404
1.46E-08,-0.027,0,0.000168,0.0501
1.46E-08,-0.0268,0,0.0002,0.0595
1.46E-08,-0.0266,0,0.000231,0.0686
1.46E-08,-0.0264,0,0.000261,0.0773
1.46E-08,-0.0262,0,0.00029,0.0855
1.46E-08,-0.026,0,0.000318,0.0934
1.47E-08,-0.0258,0,0.000343,0.101
1.47E-08,-0.0256,0,0.000368,0.108
1.47E-08,-0.0253,0,0.00039,0.114
1.47E-08,-0.0251,0,0.000411,0.12
1.47E-08,-0.0249,0,0.00043,0.125
1.47E-08,-0.0247,0,0.000446,0.13
1.47E-08,-0.0245,0,0.000461,0.134
1.47E-08,-0.0243,0,0.000473,0.137
1.47E-08,-0.024,0,0.000483,0.14
1.47E-08,-0.0238,0,0.000491,0.142
1.48E-08,-0.0236,0,0.000496,0.143
1.48E-08,-0.0234,0,0.000499,0.144
1.48E-08,-0.0231,0,0.0005,0.144
1.48E-08,-0.0229,0,0.000498,0.144
1.48E-08,-0.0227,0,0.000494,0.143
1.48E-08,-0.0225,0,0.000488,0.141
1.48E-08,-0.0222,0,0.000479,0.139
1.48E-08,-0.022,0,0.000468,0.135
1.48E-08,-0.0218,0,0.000454,0.132
1.48E-08,-0.0215,0,0.000439,0.128
1.49E-08,-0.0213,0,0.000421,0.123
1.49E-08,-0.0211,0,0.000402,0.117
1.49E-08,-0.0209,0,0.00038,0.111
1.49E-08,-0.0206,0,0.000357,0.105
1.49E-08,-0.0204,0,0.000332,0.0974
1.49E-08,-0.0201,0,0.000305,0.0899
1.49E-08,-0.0199,0,0.000277,0.0818
1.49E-08,-0.0197,0,0.000248,0.0734
1.49E-08,-0.0194,0,0.000217,0.0645
1.49E-08,-0.0192,0,0.000186,0.0553
1.50E-08,-0.019,0,0.000153,0.0457
1.50E-08,-0.0187,0,0.00012,0.0358
1.50E-08,-0.0185,0,8.60E-05,0.0258
1.50E-08,-0.0182,0,5.17E-05,0.0155
1.50E-08,-0.0181,0,3.45E-05,0.0104
1.50E-08,-0.0179,0,0,0
1.50E-08,-0.0178,0,-3.46E-06,-0.001
1.50E-08,-0.0178,0,-1.04E-05,-0.00277
1.50E-08,-0.0177,0,-2.42E-05,-0.00543
1.50E-08,-0.0175,0,-5.17E-05,-0.00853
1.50E-08,-0.0173,0,-8.60E-05,-0.00945
1.50E-08,-0.017,0,-0.00012,-0.00746
1.50E-08,-0.0168,0,-0.000153,-0.0027
1.51E-08,-0.0165,0,-0.000186,0.00489
1.51E-08,-0.0163,0,-0.000217,0.0158
1.51E-08,-0.016,0,-0.000248,0.0309
1.51E-08,-0.0158,0,-0.000277,0.051
1.51E-08,-0.0157,0,-0.000291,0.0639
1.51E-08,-0.0154,0,-0.000319,0.0938
1.51E-08,-0.0154,0,-0.000321,0.0946
1.51E-08,-0.0153,0,-0.000327,0.0961
1.51E-08,-0.0152,0,-0.000337,0.099
1.51E-08,-0.015,0,-0.000357,0.105
1.51E-08,-0.0148,0,-0.00038,0.111
1.51E-08,-0.0145,0,-0.000402,0.117
1.51E-08,-0.0143,0,-0.000421,0.123
1.52E-08,-0.014,0,-0.000439,0.128
1.52E-08,-0.0138,0,-0.000454,0.132
1.52E-08,-0.0135,0,-0.000468,0.135
1.52E-08,-0.0133,0,-0.000479,0.139
1.52E-08,-0.013,0,-0.000488,0.141
1.52E-08,-0.0127,0,-0.000494,0.143
1.52E-08,-0.0125,0,-0.000498,0.144
1.52E-08,-0.0122,0,-0.0005,0.144
1.52E-08,-0.012,0,-0.000499,0.144
1.52E-08,-0.0117,0,-0.000496,0.143
1.53E-08,-0.0115,0,-0.000491,0.142
1.53E-08,-0.0112,0,-0.000483,0.14
1.53E-08,-0.0109,0,-0.000473,0.137
1.53E-08,-0.0107,0,-0.000461,0.134
1.53E-08,-0.0104,0,-0.000446,0.13
1.53E-08,-0.0102,0,-0.00043,0.125
1.53E-08,-0.0099,0,-0.000411,0.12
1.53E-08,-0.00964,0,-0.00039,0.114
1.53E-08,-0.00937,0,-0.000368,0.108
1.53E-08,-0.00911,0,-0.000343,0.101
1.54E-08,-0.00885,0,-0.000318,0.0934
1.54E-08,-0.00859,0,-0.00029,0.0855
1.54E-08,-0.00832,0,-0.000261,0.0773
1.54E-08,-0.00806,0,-0.000231,0.0686
1.54E-08,-0.00793,0,-0.000216,0.0641
1.54E-08,-0.00766,0,-0.000184,0.0549
1.54E-08,-0.00763,0,-0.000181,0.0531
1.54E-08,-0.00758,0,-0.000174,0.0487
1.54E-08,-0.00748,0,-0.000161,0.0399
1.54E-08,-0.00726,0,-0.000135,0.0256
1.54E-08,-0.007,0,-0.000101,0.0132
1.54E-08,-0.00673,0,-6.73E-05,0.00547
1.54E-08,-0.00647,0,-3.30E-05,0.00151
1.55E-08,-0.0062,0,1.57E-06,0.000812
1.55E-08,-0.00593,0,3.61E-05,0.00332
1.55E-08,-0.00567,0,7.05E-05,0.00948
1.55E-08,-0.0054,0,0.000104,0.0195
1.55E-08,-0.00527,0,0.000121,0.0271
1.55E-08,-0.005,0,0.000155,0.0462
1.55E-08,-0.00497,0,0.000158,0.0472
1.55E-08,-0.00492,0,0.000164,0.0491
1.55E-08,-0.00481,0,0.000177,0.0529
1.55E-08,-0.0046,0,0.000203,0.0604
1.55E-08,-0.00433,0,0.000234,0.0694
1.55E-08,-0.00406,0,0.000264,0.078
1.55E-08,-0.00379,0,0.000293,0.0863
1.56E-08,-0.00352,0,0.00032,0.094
1.56E-08,-0.00326,0,0.000346,0.101
1.56E-08,-0.00299,0,0.00037,0.108
1.56E-08,-0.00272,0,0.000392,0.114
1.56E-08,-0.00245,0,0.000413,0.12
1.56E-08,-0.00218,0,0.000431,0.125
1.56E-08,-0.00191,0,0.000448,0.13
1.56E-08,-0.00164,0,0.000462,0.134
1.56E-08,-0.00137,0,0.000474,0.137
1.56E-08,-0.0011,0,0.000484,0.14
1.57E-08,-0.000831,0,0.000491,0.142
1.57E-08,-0.000561,0,0.000497,0.143
1.57E-08,-0.000291,0,0.000499,0.144
1.57E-08,-2.11E-05,0,0.0005,0.144
1.57E-08,0.000249,0,0.000498,0.144
1.57E-08,0.000519,0,0.000494,0.143
1.57E-08,0.000789,0,0.000487,0.141
1.57E-08,0.00106,0,0.000478,0.138
1.57E-08,0.00133,0,0.000467,0.135
1.57E-08,0.0016,0,0.000453,0.131
1.58E-08,0.00187,0,0.000437,0.127
1.58E-08,0.00214,0,0.00042,0.122
1.58E-08,0.00241,0,0.0004,0.117
1.58E-08,0.00268,0,0.000378,0.111
1.58E-08,0.00295,0,0.000355,0.104
1.58E-08,0.00322,0,0.000329,0.0968
1.58E-08,0.00349,0,0.000303,0.0891
1.58E-08,0.00376,0,0.000275,0.0811
1.58E-08,0.00403,0,0.000245,0.0726
1.58E-08,0.00429,0,0.000214,0.0637
1.59E-08,0.00456,0,0.000183,0.0544
1.59E-08,0.00483,0,0.00015,0.0448
1.59E-08,0.0051,0,0.000117,0.0349
1.59E-08,0.00537,0,8.29E-05,0.0248
1.59E-08,0.00564,0,4.86E-05,0.0146
1.59E-08,0.00591,0,1.41E-05,0.00424
1.59E-08,0.00617,0,-2.04E-05,-0.00612
1.59E-08,0.00644,0,-5.49E-05,-0.0164
1.59E-08,0.00671,0,-8.91E-05,-0.0267
1.59E-08,0.00698,0,-0.000123,-0.0368
1.60E-08,0.00724,0,-0.000156,-0.0466
1.60E-08,0.00751,0,-0.000188,-0.0561
1.60E-08,0.00778,0,-0.00022,-0.0653
1.60E-08,0.00804,0,-0.00025,-0.0742
1.60E-08,0.00818,0,-0.000265,-0.0785
1.60E-08,0.00844,0,-0.000294,-0.0867
1.60E-08,0.00847,0,-0.000297,-0.0861
1.60E-08,0.00852,0,-0.000302,-0.0835
1.60E-08,0.00863,0,-0.000313,-0.0762
1.60E-08,0.00884,0,-0.000334,-0.0608
1.60E-08,0.00911,0,-0.000359,-0.043
1.60E-08,0.00937,0,-0.000382,-0.026
1.60E-08,0.00963,0,-0.000404,-0.00865
1.61E-08,0.0099,0,-0.000423,0.00998
1.61E-08,0.0102,0,-0.00044,0.031
1.61E-08,0.0104,0,-0.000456,0.0561
1.61E-08,0.0107,0,-0.000469,0.0864
1.61E-08,0.0108,0,-0.000475,0.104
1.61E-08,0.0111,0,-0.000484,0.14
1.61E-08,0.0111,0,-0.000485,0.14
1.61E-08,0.0112,0,-0.000487,0.141
1.61E-08,0.0113,0,-0.00049,0.142
1.61E-08,0.0115,0,-0.000495,0.143
1.61E-08,0.0117,0,-0.000498,0.144
1.61E-08,0.012,0,-0.0005,0.144
1.61E-08,0.0123,0,-0.000499,0.144
1.62E-08,0.0125,0,-0.000496,0.143
1.62E-08,0.0128,0,-0.00049,0.142
1.62E-08,0.013,0,-0.000482,0.14
1.62E-08,0.0133,0,-0.000472,0.137
1.62E-08,0.0136,0,-0.000459,0.133
1.62E-08,0.0138,0,-0.000445,0.129
1.62E-08,0.0141,0,-0.000428,0.124
1.62E-08,0.0143,0,-0.000409,0.119
1.62E-08,0.0146,0,-0.000388,0.113
1.62E-08,0.0148,0,-0.000366,0.107
1.63E-08,0.0151,0,-0.000341,0.1
1.63E-08,0.0153,0,-0.000315,0.0927
1.63E-08,0.0156,0,-0.000288,0.0848
1.63E-08,0.0158,0,-0.000259,0.0765
1.63E-08,0.0161,0,-0.000228,0.0678
1.63E-08,0.0164,0,-0.000197,0.0587
1.63E-08,0.0166,0,-0.000165,0.0492
1.63E-08,0.0169,0,-0.000132,0.0395
1.63E-08,0.0171,0,-9.83E-05,0.0294
1.63E-08,0.0174,0,-6.42E-05,0.0192
1.64E-08,0.0176,0,-2.98E-05,0.00894
1.64E-08,0.0178,0,4.71E-06,-0.00141
1.64E-08,0.0181,0,3.92E-05,-0.0118
1.64E-08,0.0183,0,7.36E-05,-0.0221
1.64E-08,0.0185,0,9.06E-05,-0.0272
1.64E-08,0.0187,0,0.000124,-0.0373
1.64E-08,0.0187,0,0.000128,-0.0376
1.64E-08,0.0188,0,0.000134,-0.0374
1.64E-08,0.0189,0,0.000148,-0.0356
1.64E-08,0.0191,0,0.000174,-0.031
1.64E-08,0.0193,0,0.000206,-0.024
1.64E-08,0.0196,0,0.000237,-0.0156
1.64E-08,0.0198,0,0.000267,-0.00534
1.65E-08,0.02,0,0.000295,0.00728
1.65E-08,0.0203,0,0.000322,0.023
1.65E-08,0.0205,0,0.000348,0.043
1.65E-08,0.0208,0,0.000372,0.0684
1.65E-08,0.0209,0,0.000383,0.0839
1.65E-08,0.0211,0,0.000405,0.118
1.65E-08,0.0212,0,0.000407,0.119
1.65E-08,0.0212,0,0.000411,0.12
1.65E-08,0.0213,0,0.000418,0.122
1.65E-08,0.0215,0,0.000433,0.126
1.65E-08,0.0217,0,0.000449,0.13
1.65E-08,0.022,0,0.000463,0.134
1.65E-08,0.0222,0,0.000475,0.138
1.66E-08,0.0224,0,0.000485,0.14
1.66E-08,0.0227,0,0.000492,0.142
1.66E-08,0.0229,0,0.000497,0.144
1.66E-08,0.0231,0,0.0005,0.144
1.66E-08,0.0233,0,0.0005,0.144
1.66E-08,0.0236,0,0.000498,0.144
1.66E-08,0.0238,0,0.000493,0.142
1.66E-08,0.024,0,0.000486,0.141
1.66E-08,0.0243,0,0.000477,0.138
1.66E-08,0.0245,0,0.000465,0.135
1.67E-08,0.0247,0,0.000452,0.131
1.67E-08,0.0249,0,0.000436,0.127
1.67E-08,0.0251,0,0.000418,0.122
1.67E-08,0.0254,0,0.000398,0.116
1.67E-08,0.0256,0,0.000376,0.11
1.67E-08,0.0258,0,0.000352,0.103
1.67E-08,0.026,0,0.000327,0.0961
1.67E-08,0.0262,0,0.0003,0.0884
1.67E-08,0.0265,0,0.000272,0.0803
1.67E-08,0.0267,0,0.000242,0.0718
1.68E-08,0.0269,0,0.000211,0.0628
1.68E-08,0.0271,0,0.00018,0.0535
1.68E-08,0.0273,0,0.000147,0.0439
1.68E-08,0.0275,0,0.000114,0.034
1.68E-08,0.0277,0,7.98E-05,0.0239
1.68E-08,0.0279,0,4.55E-05,0.0136
1.68E-08,0.0282,0,1.10E-05,0.00329
1.68E-08,0.0284,0,-2.36E-05,-0.00706
1.68E-08,0.0286,0,-5.80E-05,-0.0174
1.68E-08,0.0288,0,-9.21E-05,-0.0276
1.69E-08,0.029,0,-0.000126,-0.0377
